Date,Product ID,Product Name,Units Sold,Total Revenue (USD)
1/16/2024,1034,Sony PlayStation 5,3,"$1,499.97 "
1/16/2024,1025,HP OfficeJet Pro 9015,5,"$1,149.95 "
1/16/2024,1036,Nintendo Switch,2,$599.98 
1/16/2024,1012,Apple AirPods Pro,4,$996.00 
1/17/2024,1023,Dell Inspiron,3,"$2,699.97 "
1/17/2024,1011,Bose QuietComfort 35 II,6,"$1,794.00 "
1/17/2024,1006,MacBook Pro,2,"$2,998.00 "
1/18/2024,1003,Google Pixel 5,2,"$1,398.00 "
1/18/2024,1014,Samsung Galaxy Tab S7,3,"$1,949.97 "
1/18/2024,1038,Netgear Nighthawk AX12,1,$299.99 
1/19/2024,1021,Nikon Z6,2,"$3,599.98 "
1/19/2024,1017,Samsung Galaxy Watch 3,4,"$1,399.96 "
1/19/2024,1039,Asus RT-AX88U,3,$747.00 
1/19/2024,1005,HP Spectre x360,2,"$2,399.98 "
1/19/2024,1019,Sony Alpha a7 III,3,"$5,997.00 "
1/19/2024,1020,Canon EOS R5,1,"$3,499.00 "
1/19/2024,1015,Microsoft Surface Pro 7,4,"$3,596.00 "
1/20/2024,1007,Samsung QLED Q90T,2,"$3,999.98 "
1/20/2024,1018,Fitbit Versa 3,3,$689.85 
1/20/2024,1013,Apple iPad Pro,2,"$1,598.00 "
1/20/2024,1001,Apple iPhone 12,3,"$2,697.00 "
1/20/2024,1002,Samsung Galaxy S21,2,"$1,599.98 "
1/20/2024,1003,Google Pixel 5,4,"$2,796.00 "
1/20/2024,1004,Dell XPS 13,1,"$1,299.00 "
1/21/2024,1006,MacBook Pro,2,"$2,998.00 "
1/21/2024,1008,LG C1 OLED,3,"$5,397.00 "
1/21/2024,1010,Sony WH-1000XM4,1,$349.99 
1/21/2024,1001,Apple iPhone 12,3,"$2,697.00 "
1/21/2024,1002,Samsung Galaxy S21,2,"$1,599.98 "
1/21/2024,1004,Dell XPS 13,1,"$1,299.00 "
1/21/2024,1005,HP Spectre x360,2,"$2,399.98 "
1/21/2024,1006,MacBook Pro,2,"$2,998.00 "
1/22/2024,1007,Samsung QLED Q90T,3,"$5,999.97 "
1/22/2024,1001,Apple iPhone 12,2,"$1,798.00 "
1/22/2024,1002,Samsung Galaxy S21,3,"$2,399.97 "
1/22/2024,1004,Dell XPS 13,1,"$1,299.00 "
1/23/2024,1005,HP Spectre x360,2,"$2,399.98 "
1/23/2024,1003,Google Pixel 5,1,$699.00 
1/23/2024,1014,Samsung Galaxy Tab S7,1,$649.99 
1/24/2024,1038,Netgear Nighthawk AX12,1,$299.99 
1/24/2024,1021,Nikon Z6,1,"$1,799.99 "
1/24/2024,1017,Samsung Galaxy Watch 3,1,$349.99 
1/25/2024,1039,Asus RT-AX88U,1,$249.00 
1/25/2024,1005,HP Spectre x360,1,"$1,199.99 "
1/25/2024,1019,Sony Alpha a7 III,1,"$1,999.00 "
1/26/2024,1020,Canon EOS R5,1,"$3,499.00 "
1/26/2024,1007,Samsung QLED Q90T,1,"$1,999.99 "
1/26/2024,1018,Fitbit Versa 3,1,$229.95 
1/27/2024,1013,Apple iPad Pro,1,$799.00 
1/27/2024,1001,Apple iPhone 12,1,$899.00 
1/27/2024,1002,Samsung Galaxy S21,1,$799.99 
1/28/2024,1004,Dell XPS 13,1,"$1,299.00 "
1/28/2024,1006,MacBook Pro,1,"$1,499.00 "
1/28/2024,1008,LG C1 OLED,1,"$1,799.00 "
1/29/2024,1010,Sony WH-1000XM4,1,$349.99 
1/29/2024,1003,Google Pixel 5,1,$699.00 
1/29/2024,1014,Samsung Galaxy Tab S7,1,$649.99 
1/29/2024,1038,Netgear Nighthawk AX12,1,$299.99 
1/30/2024,1020,Canon EOS R5,3,"$10,497.00 "
1/30/2024,1019,Sony Alpha a7 III,2,"$3,998.00 "
1/30/2024,1038,Netgear Nighthawk AX12,1,$299.99 
1/31/2024,1040,Western Digital My Passport,4,$319.96 
1/31/2024,1010,Sony WH-1000XM4,2,$699.98 
